Player,Pos,3P,TRB,BLK
Jordan Crawford,SG,1.9,1.8,0.1
Eric Gordon,SG,3.3,2.7,0.5
Willie Cauley-Stein,C,0.0,4.5,0.6
Willie Reed,C,0.0,4.7,0.7
Channing Frye,C,1.9,3.9,0.5
Richaun Holmes,C,0.5,5.5,1.0
Tarik Black,C,0.0,5.1,0.7
Kosta Koufos,C,0.0,5.7,0.7
Roy Hibbert,C,0.0,3.2,1.0
Chris Andersen,C,0.0,2.6,0.6
John Henson,C,0.0,5.1,1.3
Sean Kilpatrick,SG,1.5,4.0,0.1
Klay Thompson,SG,3.4,3.7,0.5
Jonas Valanciunas,C,0.0,9.5,0.8
Marreese Speights,C,1.3,4.5,0.5
Austin Rivers,SG,1.5,2.2,0.1
Avery Bradley,SG,2.0,6.1,0.2
J.R. Smith,SG,2.3,2.8,0.3
Hassan Whiteside,C,0.0,14.1,2.1
Timofey Mozgov,C,0.0,4.9,0.6
Jodie Meeks,SG,1.6,2.1,0.1
Al Horford,C,1.3,6.8,1.3
Marc Gasol,C,1.4,6.3,1.3
Rudy Gobert,C,0.0,12.8,2.6
Nikola Jokic,C,0.6,9.8,0.8
J.J. Redick,SG,2.6,2.2,0.2
Andrew Bogut,C,0.0,8.1,0.9
Andre Drummond,C,0.0,13.8,1.1
Marco Belinelli,SG,1.4,2.4,0.1
Anthony Davis,C,0.5,11.8,2.2
Justin Hamilton,C,0.9,4.1,0.7
Josh Richardson,SG,1.4,3.2,0.7
Alexis Ajinca,C,0.0,4.5,0.6
Lou Williams,SG,2.0,2.5,0.2
C.J. McCollum,SG,2.3,3.6,0.5
Kentavious Caldwell-Pope,SG,2.0,3.3,0.2
Joe Harris,SG,1.6,2.8,0.2
Dewayne Dedmon,C,0.0,6.5,0.8
Marcus Smart,SG,1.2,3.9,0.4
E'Twaun Moore,SG,1.1,2.1,0.4
Robin Lopez,C,0.0,6.4,1.4
Jordan Clarkson,SG,1.4,3.0,0.1
Jason Smith,C,0.5,3.5,0.7
Nikola Vucevic,C,0.3,10.4,1.0
Edy Tavares,C,0.0,5.5,3.0
Denzel Valentine,SG,1.3,2.6,0.1
Pau Gasol,C,0.9,7.8,1.1
Wayne Ellington,SG,2.4,2.1,0.1
Bismack Biyombo,C,0.0,7.0,1.1
Dion Waiters,SG,1.8,3.3,0.4
Will Barton,SG,1.5,4.3,0.5
Salah Mejri,C,0.0,4.2,0.8
Kyle Korver,SG,2.4,2.8,0.3
Dwyane Wade,SG,0.8,4.5,0.7
Zach LaVine,SG,2.6,3.4,0.2
Myles Turner,C,0.5,7.3,2.1
Nik Stauskas,SG,1.7,2.8,0.4
Frank Kaminsky,C,1.5,4.5,0.5
Patrick Beverley,SG,1.6,5.9,0.4
Brook Lopez,C,1.8,5.4,1.7
Marcin Gortat,C,0.0,10.4,0.7
Clint Capela,C,0.0,8.1,1.2
Victor Oladipo,SG,1.9,4.3,0.3
Troy Daniels,SG,2.1,1.5,0.1
Karl-Anthony Towns,C,1.2,12.3,1.3
Courtney Lee,SG,1.4,3.4,0.3
Georgios Papagiannis,C,0.0,3.9,0.8
Allen Crabbe,SG,1.7,2.9,0.3
Alex Len,C,0.0,6.6,1.3
Ian Mahinmi,C,0.0,4.8,0.8
A.J. Hammons,C,0.2,1.6,0.6
Bradley Beal,SG,2.9,3.1,0.3
Jamal Crawford,SG,1.4,1.6,0.2
Devin Booker,SG,1.9,3.2,0.3
Nicolas Batum,SG,1.8,6.2,0.4
Justin Holiday,SG,1.2,2.7,0.4
Buddy Hield,SG,1.8,3.3,0.1
Rodney Hood,SG,1.9,3.4,0.2
Mason Plumlee,C,0.0,7.5,1.1
Manu Ginobili,SG,1.3,2.3,0.2
